R_A	vqe_energy	exact_active	exact_fci	error_vs_fci	ansatz_error	truncation_error	num_params
0.800	-7.61590624	-7.61591576	-5.64975279	1.966e+00	9.524e-06	1.966e+00	90
1.000	-7.76749706	-7.76749670	-6.19692865	1.571e+00	3.617e-07	1.571e+00	90
1.200	-7.83576679	-7.83576681	-6.52948783	1.306e+00	1.457e-08	1.306e+00	90
1.400	-7.86073065	-7.86072951	-6.74450249	1.116e+00	1.142e-06	1.116e+00	90
1.600	-7.86212969	-7.86212883	-6.89011711	9.720e-01	8.548e-07	9.720e-01	90
1.800	-7.85041523	-7.85041279	-6.99256201	8.579e-01	2.444e-06	8.579e-01	90
2.000	-7.83153534	-7.83153363	-7.06732196	7.642e-01	1.714e-06	7.642e-01	90
2.500	-7.77354527	-7.77354413	-7.18871123	5.848e-01	1.132e-06	5.848e-01	90
3.000	-7.72642851	-7.72642814	-7.26966595	4.568e-01	3.685e-07	4.568e-01	90
4.000	-7.74939442	-7.74939369	-7.38739527	3.620e-01	7.223e-07	3.620e-01	90
